X,Y,Z,SAMPLE_ID,SAMPLE_FIE,SAMPLE_DAT,LAT_DEG,LONG_DEG,YEAR_CONST,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,As,Al,B_,Ba,Ca,Co,Cr,Cu,Fe,K_,Li,Mg,Mn,Na,P_,Si,SO4,Sr,V_,Zn
385189.691048838,2744830.19071178,0,S98_02935,RIP0439,30/05/1998,24.814000000000000,91.864000000000004,"1994",STW,52.000000000000000,Sylhet,Sylhet,Sylhet Sadar,Silam,Char mohammadpur,6916275217,< 0.5,< 0.04,"0.01","0.051","4.21",< 0.008,< 0.02,< 0.008,"17.2","1.5","0.004","2.14","0.725",24.300000000000001,"2.6","25.3","0.3","0.0482",< 0.006,"0.009"
353136.176598153,2744026.56833194,0,S98_02936,RIP0441,31/05/1998,24.803999999999998,91.546999999999997,"1997",STW,151.000000000000000,Sylhet,Sunamganj,Jagannathpur,Kalkalia,Majidpur,6904738584,"19.4",< 0.04,"0.06","0.076","9.1",< 0.008,< 0.02,< 0.008,"2.43","1.2",< 0.003,"5.73","0.208",64.000000000000000,"4.2","16.7",< 0.2,"0.0883",< 0.006,< 0.008
351575.793446227,2739945.06948365,0,S98_02937,RIP0442,31/05/1998,24.766999999999999,91.531999999999996,"1996",STW,143.000000000000000,Sylhet,Sunamganj,Jagannathpur,Jagannathpur,Jatrapasha,6904728451,"15.8",< 0.04,"0.04","0.082","9.1",< 0.008,< 0.02,< 0.008,"5.29","1.4",< 0.003,"5.7","0.261",50.299999999999997,"3","20.6","0.2","0.0986",< 0.006,"0.023"
355503.285997126,2738352.82740263,0,S98_02938,RIP0443,31/05/1998,24.753000000000000,91.570999999999998,"1992",DTW,115.000000000000000,Sylhet,Sunamganj,Jagannathpur,Raniganj,Teargaon,6904776968,"10.8",< 0.04,"0.06","0.082","9.92",< 0.008,< 0.02,< 0.008,"6.73","1.5",< 0.003,"5.02","0.358",49.899999999999999,"3.3","21.4",< 0.2,"0.0964",< 0.006,"0.017"
355772.068792035,2735027.24775098,0,S98_02939,RIP0444,31/05/1998,24.722999999999999,91.573999999999998,"1996",DTW,110.000000000000000,Sylhet,Sunamganj,Jagannathpur,Pailgaon,Ramapatipur,6904757797,"1.9",< 0.04,"0.02","0.078","9.87",< 0.008,< 0.02,< 0.008,"8.77","1.3","0.003","3.98","0.554",29.899999999999999,"1.1","29.6",< 0.2,"0.092",< 0.006,"0.012"
353905.076876141,2740252.54027924,0,S98_02940,RIP0445,31/05/1998,24.770000000000000,91.555000000000007,"1986",DTW,139.000000000000000,Sylhet,Sunamganj,Jagannathpur,Jagannthpur,Jagannathpur bar,6904728421,"12.5",< 0.04,"0.04","0.096","8.89",< 0.008,< 0.02,< 0.008,"7.62","1.5",< 0.003,"4.45","0.326",49.399999999999999,"3","20.2",< 0.2,"0.0919",< 0.006,< 0.008
362316.513235076,2742049.06509031,0,S98_02941,RIP0446,31/05/1998,24.786999999999999,91.638000000000005,"1987",STW,77.000000000000000,Sylhet,Sunamganj,Jagannathpur,Mirpur,Mirpur,6904747634,"33.8",< 0.04,"0.03","0.08","8.59",< 0.008,< 0.02,< 0.008,"1.39","1.2",< 0.003,"5.21","0.121",111.000000000000000,"6.2","12.4",< 0.2,"0.0844",< 0.006,"0.056"
364949.478088279,2742466.09356955,0,S98_02942,RIP0447,31/05/1998,24.791000000000000,91.664000000000001,"1991",DTW,98.000000000000000,Sylhet,Sunamganj,Jagannathpur,Mirpur,Lahari,6904747565,"34.7",< 0.04,"0.03","0.055","4.16","0.071",< 0.02,< 0.008,"1.21","1.3",< 0.003,"3.03","0.099",105.000000000000000,"6.7","12.9","0.3","0.0423",< 0.006,< 0.008
349644.583909496,2757577.38550711,0,S98_02943,RIP0448,31/05/1998,24.925999999999998,91.510999999999996,"1997",DTW,163.000000000000000,Sylhet,Sunamganj,Chhatak,Jawarbazar,Dakhin bara kapa,6902352236,"58.7",< 0.04,"0.07","0.058","6.51",< 0.008,< 0.02,< 0.008,"1.12","1.3",< 0.003,"4.73","0.028",116.000000000000000,"3.1","9.77","0.3","0.0598",< 0.006,< 0.008
357540.287551923,2759265.34073623,0,S98_02944,RIP0449,31/05/1998,24.942000000000000,91.588999999999999,"1995",DTW,123.000000000000000,Sylhet,Sunamganj,Chhatak,Dakshin Khurma,Chechan,6902366179,"37.2",< 0.04,"0.05","0.061","9.99",< 0.008,< 0.02,< 0.008,"1.89","1",< 0.003,"4.93","0.066",99.099999999999994,"4.1","15.4","0.4","0.0715",< 0.006,< 0.008
363797.50258689,2758869.49808737,0,S98_02945,RIP0450,31/05/1998,24.939000000000000,91.650999999999996,"1997",DTW,128.000000000000000,Sylhet,Sunamganj,Chhatak,Uttar Khurma,Ghilachhara,6902361301,"28.1",< 0.04,"0.04","0.046","3.97",< 0.008,< 0.02,< 0.008,"1.07","1.1",< 0.003,"2.25","0.086",110.000000000000000,"9.6","14.5","0.3","0.0404",< 0.006,< 0.008
376860.128577689,2774030.05669537,0,S98_02946,RIP0451,30/05/1998,25.077000000000002,91.778999999999996,"1997",STW,72.000000000000000,Sylhet,Sylhet,Companiganj (S),Telikheli,Telikheli,6912771925,"70.3",< 0.01,"0.04","0.127","36.9",< 0.003,< 0.002,< 0.008,"11.1","3.5",< 0.003,"21.4","0.123",34.100000000000001,"2.3","25.4","0.6","0.233",< 0.002,"0.005"
384244.062492261,2764551.48512754,0,S98_02947,RIP0452,30/05/1998,24.992000000000001,91.852999999999994,"1970",STW,29.000000000000000,Sylhet,Sylhet,Gowainghat,Nandirgaon,Salutikar,6914163876,< 0.5,"0.3","0.03","0.078","21.4","0.006",< 0.002,"0.02","0.57","36.4",< 0.003,"9.98","0.228",58.200000000000003,< 0.1,"3.77","82.6","0.0618",< 0.002,"0.023"
386026.395144956,2772510.56897746,0,S98_02948,RIP0453,30/05/1998,25.064000000000000,91.870000000000005,"1994",STW,69.000000000000000,Sylhet,Sylhet,Gowainghat,Towakul,Paikraj,6914184719,"61.4",< 0.01,"0.04","0.114","33.8",< 0.003,< 0.002,< 0.008,"12.5","3.9",< 0.003,"20.5","0.131",38.000000000000000,"1.9","27.4","0.4","0.234",< 0.002,"0.009"
355764.8752246,2665141.46350619,0,S98_02949,RIP0455,31/05/1998,24.091999999999999,91.581000000000003,"1994",STW,51.000000000000000,Sylhet,Habiganj,Chunarughat,Gazipur,Gazipur,6362638337,"1.3",< 0.01,< 0.01,"0.157","10.4",< 0.003,"0.002",< 0.008,"4.18","2.9",< 0.003,"4.25","0.257",8.080000000000000,< 0.1,"22.3","0.5","0.104",< 0.002,"0.014"
352679.855531696,2671596.56635405,0,S98_02950,RIP0456,31/05/1998,24.149999999999999,91.549999999999997,"1996",STW,45.000000000000000,Sylhet,Habiganj,Chunarughat,Ahamadabad,Rajarbazar,6362609066,< 0.5,< 0.04,< 0.01,"0.069","8.62",< 0.008,< 0.02,< 0.008,"6.05","2","0.005","3.28","0.293",8.000000000000000,< 0.2,"22.1","0.2","0.0706",< 0.006,< 0.008
351382.566585689,2683571.40180182,0,S98_02951,RIP0457,31/05/1998,24.257999999999999,91.536000000000001,"1977",STW,36.000000000000000,Sylhet,Habiganj,Chunarughat,Shatiajuri,Sundarpur,6362685952,"34.2",< 0.04,"0.02","0.079","6.79",< 0.008,< 0.02,< 0.008,"25.4","1.1",< 0.003,"3.98","0.88",18.199999999999999,"1.3","20.8","0.2","0.062",< 0.006,"0.01"
345306.489285951,2685076.34820592,0,S98_02952,RIP0458,31/05/1998,24.271000000000001,91.475999999999999,"1995",STW,76.000000000000000,Sylhet,Habiganj,Chunarughat,Ubahata,Kutirgaon,6362695976,"33.3",< 0.04,"0.02","0.122","12.1",< 0.008,< 0.02,< 0.008,"3.34","1.2",< 0.003,"8.06","0.178",46.500000000000000,"2","16.7",< 0.2,"0.119",< 0.006,< 0.008
345608.634454943,2684851.53306019,0,S98_02953,RIP0459,31/05/1998,24.268999999999998,91.478999999999999,"1996",STW,51.000000000000000,Sylhet,Habiganj,Chunarughat,Ubahata,Kutirgaon,6362695976,"20.3",< 0.04,"0.02","0.105","11.1",< 0.008,< 0.02,< 0.008,"4.41","1.3",< 0.003,"5.72","0.5",41.500000000000000,"1","15.2",< 0.2,"0.0938",< 0.006,"0.014"
340640.905644181,2676488.93762186,0,S98_02954,RIP0460,31/05/1998,24.193000000000001,91.430999999999997,"1992",STW,41.000000000000000,Sylhet,Habiganj,Chunarughat,Shankhola,Shaltila,6362676789,< 0.5,< 0.04,< 0.01,"0.049","13.7",< 0.008,< 0.02,< 0.008,"0.09","1.9","0.004","5.07","0.219",12.800000000000001,< 0.2,"31.7","3.5","0.11",< 0.006,< 0.008
346268.501110205,2670778.36979656,0,S98_02955,RIP0461,31/05/1998,24.141999999999999,91.486999999999995,"1984",STW,45.000000000000000,Sylhet,Habiganj,Chunarughat,Deorgach,Chandripur t.g.,6362628192,< 0.5,< 0.04,< 0.01,"0.026","11.1",< 0.008,< 0.02,< 0.008,"7.74","1.6","0.008","4.36","0.406",11.900000000000000,< 0.2,"33","0.7","0.0953",< 0.006,< 0.008
327485.629290965,2689159.31680064,0,S98_02956,RIP0463,01/06/1998,24.306000000000001,91.299999999999997,"1992",STW,72.000000000000000,Sylhet,Habiganj,Lakhai,Bulla,Paschim bulla,6366827156,"1.6",< 0.04,"0.01","0.061","22.2",< 0.008,< 0.02,< 0.008,"4.32","1.4",< 0.003,"7.86","0.514",21.399999999999999,"0.6","30.5",< 0.2,"0.138",< 0.006,< 0.008
323397.960183965,2686994.45443663,0,S98_02957,RIP0464,01/06/1998,24.286000000000001,91.260000000000005,"1987",STW,59.000000000000000,Sylhet,Habiganj,Lakhai,Bamai,Bamai,6366813099,"39.6",< 0.01,"0.03","0.163","21.7",< 0.003,"0.003",< 0.008,"7.95","1",< 0.003,"9.27","0.14",43.600000000000001,"1.4","24.5",< 0.2,"0.152",< 0.002,"0.008"
322754.16539306,2684233.27390654,0,S98_02958,RIP0465,01/06/1998,24.260999999999999,91.254000000000005,"1985",STW,60.000000000000000,Sylhet,Habiganj,Lakhai,Murakuri,Phulbaria,6366867718,"10.6",< 0.04,"0.03","0.166","25",< 0.008,< 0.02,< 0.008,"9.53","1.1",< 0.003,"9.09","0.206",42.100000000000001,"1.7","24.5",< 0.2,"0.163",< 0.006,< 0.008
325716.44206054,2685636.46151654,0,S98_02959,RIP0466,01/06/1998,24.274000000000001,91.283000000000001,"1984",STW,47.000000000000000,Sylhet,Habiganj,Lakhai,Muriauk,Dharmapur,6366881227,< 0.5,< 0.04,"0.01","0.042","26.5",< 0.008,< 0.02,< 0.008,"1.92","1.1",< 0.003,"8.91","0.308",32.799999999999997,"0.2","23.7",< 0.2,"0.152",< 0.006,< 0.008
349602.153830725,2688020.41452785,0,S98_02960,RIP0468,02/06/1998,24.297999999999998,91.518000000000001,"1979",STW,50.000000000000000,Sylhet,Habiganj,Bahubal,Mirpur,Rupshankar,6360547845,"19.1",< 0.04,"0.01","0.107","12.4",< 0.008,< 0.02,< 0.008,"12.5","1.8",< 0.003,"4.63","0.397",25.199999999999999,"0.9","21.5",< 0.2,"0.104",< 0.006,< 0.008
355163.77040826,2695825.7859124,0,S98_02961,RIP0469,02/06/1998,24.369000000000000,91.572000000000003,"1996",Tara,55.000000000000000,Sylhet,Habiganj,Bahubal,Satkapan,Modhupur tea est,6360571849,< 0.5,"0.05",< 0.01,"0.053","0.86",< 0.008,< 0.02,< 0.008,"0.507","1.2",< 0.003,"0.38","0.056",0.800000000000000,< 0.2,"5.88","2.8","0.0117",< 0.006,"0.536"
350186.112425356,2695213.32797432,0,S98_02962,RIP0470,02/06/1998,24.363000000000000,91.522999999999996,"1968",STW,51.000000000000000,Sylhet,Habiganj,Bahubal,Satkapan,Ulua,6360571727,"16",< 0.04,"0.02","0.091","13.2",< 0.008,< 0.02,< 0.008,"8.64","1.4",< 0.003,"4.72","0.481",51.600000000000001,"1.3","16.1",< 0.2,"0.103",< 0.006,"0.014"
326087.041214621,2666137.03171958,0,S98_02963,RIP0472,31/05/1998,24.097999999999999,91.289000000000001,"1983",DTW,98.000000000000000,Sylhet,Habiganj,Madhabpur,Madhabpur,Kutania,6367177588,< 0.5,< 0.04,< 0.01,"0.03","14.2",< 0.008,< 0.02,< 0.008,"1.51","3.7","0.009","5.52","0.201",14.400000000000000,< 0.2,"38.5","2","0.12",< 0.006,"0.123"
324469.952488203,2666932.20782419,0,S98_02964,RIP0473,31/05/1998,24.105000000000000,91.272999999999996,"1983",STW,46.000000000000000,Sylhet,Habiganj,Madhabpur,Adair,Adair,6367108010,"11",< 0.04,"0.02","0.065","8.3",< 0.008,< 0.02,< 0.008,"21.5","1.4",< 0.003,"3.28","0.503",9.900000000000000,"0.6","17.3",< 0.2,"0.0743",< 0.006,"0.025"
333138.750344985,2660514.73836369,0,S98_02965,RIP0474,31/05/1998,24.047999999999998,91.358999999999995,"1993",STW,27.000000000000000,Sylhet,Habiganj,Madhabpur,Chawmohani,Alaboxpur,6367151027,< 0.5,< 0.04,< 0.01,"0.017","20.7",< 0.008,< 0.02,< 0.008,"1.05","1.3","0.004","8.69","0.58",17.000000000000000,< 0.2,"31.4","0.5","0.131",< 0.006,< 0.008
